Class(Ci),ni,pi/P,pi/ni,cp/P,mCi,rij/P,lRj
C1,708,0.4958701224722301,2.459039548022599,0.46567929364853317,4,0.11164910281970948,[6]
C2,454,0.46881230418684133,3.6255506607929515,0.3084591284534321,4,0.10538308174309313,[]
C3,462,0.4770720592423811,3.6255411255411256,0.4483053261179151,3,0.11250356023924808,[]
C4,520,0.46026772999145543,3.1076923076923078,0.44346340074052976,3,0.11136428367986329,[]
C5,435,0.512959270863002,4.1402298850574715,0.4021646254628311,3,0.1219025918541726,[]
C6,536,0.8194246653375107,5.367537313432836,0.8145827399601253,4,0.23896325833095983,[]
C7,891,0.8484762176018228,3.3434343434343434,0.8262603246938194,4,0.2455140985474224,"[1, 2, 3, 4, 5]"
C8,678,0.831387069211051,4.3053097345132745,0.23896325833095983,4,0.23668470521219026,[]
C9,268,0.2993449159783537,3.921641791044776,0.23753916263172886,4,0.10424380518370835,[]
C10,343,0.2532042153232697,2.5918367346938775,0.25178011962403873,4,0.08857875249216747,[]
C11,325,0.27655938479065795,2.9876923076923076,0.15921389917402448,4,0.09342067786955284,[]
C12,621,0.48988892053545996,2.7697262479871174,0.4853318142979208,4,0.10994018798063229,[]
