Class(Ci),ni,pi/P,pi/ni,cp/P,mCi,rij/P,lRj
C1,273,0.23449074074074075,3.7106227106227108,0.2152777777777778,4,0.06921296296296296,[]
C2,407,0.44722222222222224,4.746928746928747,0.3275462962962963,4,0.14629629629629629,[]
C3,330,0.45023148148148145,5.893939393939394,0.3962962962962963,4,0.1451388888888889,[]
C4,360,0.4233796296296296,5.080555555555556,0.38657407407407407,4,0.13819444444444445,[]
C5,474,0.6090277777777777,5.550632911392405,0.48865740740740743,4,0.19537037037037036,[6]
C6,438,0.6895833333333333,6.801369863013699,0.44004629629629627,4,0.22615740740740742,"[1, 3, 4, 5]"
C7,501,0.4706018518518518,4.057884231536926,0.46273148148148147,5,0.14907407407407408,[]
C8,521,0.5372685185185185,4.45489443378119,0.13680555555555557,4,0.17546296296296296,[2]
C9,167,0.1798611111111111,4.652694610778443,0.1076388888888889,4,0.06875,[]
C10,113,0.11296296296296296,4.31858407079646,0.1087962962962963,4,0.047453703703703706,[]
C11,149,0.16296296296296298,4.724832214765101,0.12106481481481482,4,0.06018518518518518,[]
C12,299,0.29768518518518516,4.301003344481606,0.22777777777777777,4,0.09861111111111111,[]
